Field #,Field Width,Field Name,year
27,1,Co-Borrower Race or National Origin 3,2018
28,1,Co-Borrower Race or National Origin 4,2018
29,1,Co-Borrower Race or National Origin 5,2018
30,1,Co-Borrower Ethnicity,2018
31,1,Borrower Sex,2018
32,1,Co-Borrower Sex,2018
33,1,Age of Borrower,2018
34,1,Age of Co-Borrower,2018
35,1,Occupancy Code,2018
36,5,Rate Spread,2018
37,1,HOEPA Status,2018
38,1,Property Type,2018
39,1,Lien Status,2018
40,1,Borrower Age 62 or older,2018
41,1,Co-Borrower Age 62 or older,2018
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2018
43,1,Date of Mortgage Note,2018
44,3,Term of Mortgage at Origination,2018
45,1,Number of Units,2018
46,6,Interest Rate at Origination,2018
47,9,Note Amount,2018
48,1,Preapproval,2018
49,1,Application Channel,2018
50,1,Automated Underwriting System (AUS) Name,2018
51,2,Credit Score Model - Borrower,2018
52,2,Credit Score Model - Co-Borrower,2018
53,2,Debt-to-Income (DTI) Ratio,2018
54,6,Discount Points,2018
55,3,Introductory Rate Period,2018
56,1,Manufactured Home - Land Property Interest,2018
57,9,Property Value,2018
58,1,Rural Census Tract,2018
59,1,Lower Mississippi Delta County,2018
60,1,Middle Appalachia County,2018
61,1,Persistent Poverty County,2018
62,1,Area of Concentrated Poverty,2018
63,1,High Opportunity Area,2018
64,1,Qualified Opportunity Zone (QOZ) Census Tract,2018
1,1,Enterprise Flag,2019
2,7,Record Number,2019
3,2,US Postal State Code,2019
4,5,Metropolitan Statistical Area (MSA) Code,2019
5,3,County - 2010 Census,2019
6,6,Census Tract - 2010 Census,2019
7,6,2010 Census Tract - Percent Minority,2019
8,6,2010 Census Tract - Median Income,2019
9,6,Local Area Median Income,2019
10,8,Tract Income Ratio,2019
11,9,Borrower’s (or Borrowers’) Annual Income,2019
12,6,Area Median Family Income (2019),2019
13,8,Borrower Income Ratio,2019
14,9,Acquisition Unpaid Principal Balance (UPB),2019
15,1,Purpose of Loan,2019
16,1,Federal Guarantee,2019
17,2,Number of Borrowers,2019
18,1,First-Time Home Buyer,2019
19,1,Borrower Race or National Origin 1,2019
20,1,Borrower Race or National Origin 2,2019
21,1,Borrower Race or National Origin 3,2019
22,1,Borrower Race or National Origin 4,2019
23,1,Borrower Race or National Origin 5,2019
24,1,Borrower Ethnicity,2019
25,1,Co-Borrower Race or National Origin 1,2019
26,1,Co-Borrower Race or National Origin 2,2019
27,1,Co-Borrower Race or National Origin 3,2019
28,1,Co-Borrower Race or National Origin 4,2019
29,1,Co-Borrower Race or National Origin 5,2019
30,1,Co-Borrower Ethnicity,2019
31,1,Borrower Sex,2019
32,1,Co-Borrower Sex,2019
33,1,Age of Borrower,2019
34,1,Age of Co-Borrower,2019
35,1,Occupancy Code,2019
36,5,Rate Spread,2019
37,1,HOEPA Status,2019
38,1,Property Type,2019
39,1,Lien Status,2019
40,1,Borrower Age 62 or older,2019
41,1,Co-Borrower Age 62 or older,2019
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2019
43,1,Date of Mortgage Note,2019
44,3,Term of Mortgage at Origination,2019
45,1,Number of Units,2019
46,6,Interest Rate at Origination,2019
47,9,Note Amount,2019
48,1,Preapproval,2019
49,1,Application Channel,2019
50,1,Automated Underwriting System (AUS) Name,2019
51,2,Credit Score Model - Borrower,2019
52,2,Credit Score Model - Co-Borrower,2019
53,2,Debt-to-Income (DTI) Ratio,2019
54,6,Discount Points,2019
55,3,Introductory Rate Period,2019
56,1,Manufactured Home - Land Property Interest,2019
57,9,Property Value,2019
58,1,Rural Census Tract,2019
59,1,Lower Mississippi Delta County,2019
60,1,Middle Appalachia County,2019
61,1,Persistent Poverty County,2019
62,1,Area of Concentrated Poverty,2019
63,1,High Opportunity Area,2019
64,1,Qualified Opportunity Zone (QOZ) Census Tract,2019
1,1,Enterprise Flag,2020
2,7,Record Number,2020
3,2,US Postal State Code,2020
4,5,Metropolitan Statistical Area (MSA) Code,2020
5,3,County - 2010 Census,2020
6,6,Census Tract - 2010 Census,2020
7,6,2010 Census Tract - Percent Minority,2020
8,6,2010 Census Tract - Median Income,2020
9,6,Local Area Median Income,2020
10,8,Tract Income Ratio,2020
11,9,Borrower’s (or Borrowers’) Annual Income,2020
12,6,Area Median Family Income (2020),2020
13,8,Borrower Income Ratio,2020
14,9,Acquisition Unpaid Principal Balance (UPB),2020
15,1,Purpose of Loan,2020
16,1,Federal Guarantee,2020
17,2,Number of Borrowers,2020
18,1,First-Time Home Buyer,2020
19,1,Borrower Race or National Origin 1,2020
20,1,Borrower Race or National Origin 2,2020
21,1,Borrower Race or National Origin 3,2020
22,1,Borrower Race or National Origin 4,2020
23,1,Borrower Race or National Origin 5,2020
24,1,Borrower Ethnicity,2020
25,1,Co-Borrower Race or National Origin 1,2020
26,1,Co-Borrower Race or National Origin 2,2020
27,1,Co-Borrower Race or National Origin 3,2020
28,1,Co-Borrower Race or National Origin 4,2020
29,1,Co-Borrower Race or National Origin 5,2020
30,1,Co-Borrower Ethnicity,2020
31,1,Borrower Sex,2020
32,1,Co-Borrower Sex,2020
33,1,Age of Borrower,2020
34,1,Age of Co-Borrower,2020
35,1,Occupancy Code,2020
36,5,Rate Spread,2020
37,1,HOEPA Status,2020
38,1,Property Type,2020
39,1,Lien Status,2020
40,1,Borrower Age 62 or older,2020
41,1,Co-Borrower Age 62 or older,2020
42,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2020
43,1,Date of Mortgage Note,2020
44,3,Term of Mortgage at Origination,2020
45,1,Number of Units,2020
46,6,Interest Rate at Origination,2020
47,9,Note Amount,2020
48,1,Preapproval,2020
49,1,Application Channel,2020
50,1,Automated Underwriting System (AUS) Name,2020
51,2,Credit Score Model - Borrower,2020
52,2,Credit Score Model - Co-Borrower,2020
53,2,Debt-to-Income (DTI) Ratio,2020
54,6,Discount Points,2020
55,3,Introductory Rate Period,2020
56,1,Manufactured Home - Land Property Interest,2020
57,9,Property Value,2020
58,1,Rural Census Tract,2020
59,1,Lower Mississippi Delta County,2020
60,1,Middle Appalachia County,2020
61,1,Persistent Poverty County,2020
62,1,Area of Concentrated Poverty,2020
63,1,High Opportunity Area,2020
64,1,Qualified Opportunity Zone (QOZ) Census Tract,2020
1,1,Enterprise Flag,2021
2,7,Record Number,2021
3,2,US Postal State Code,2021
4,5,Metropolitan Statistical Area (MSA) Code,2021
5,3,County - 2010 Census,2021
6,6,Census Tract - 2010 Census,2021
7,6,2010 Census Tract - Percent Minority,2021
