Field #,Field Width,Field Name,year
18,1,Date of Mortgage Note,2022
19,3,Term of Mortgage at Origination,2022
20,1,Number of Units,2022
21,6,Interest Rate at Origination,2022
22,9,Note Amount,2022
23,9,Property Value,2022
24,3,Prepayment Penalty Term,2022
25,1,Non-fully Amortizing Feature - Balloon,2022
26,1,Non-fully Amortizing Feature - Interest-only,2022
27,1,Non-fully Amortizing Feature - Negative Amortization,2022
28,1,Non-fully Amortizing Feature - Other,2022
29,3,Multifamily Affordable Units - Percent,2022
30,1,Construction Method,2022
31,1,Rural Census Tract,2022
32,1,Lower Mississippi Delta County,2022
33,1,Middle Appalachia County,2022
34,1,Persistent Poverty County,2022
35,1,Area of Concentrated Poverty,2022
36,1,High Opportunity Area,2022
1,1,Enterprise Flag,2023
2,7,Record Number,2023
3,2,US Postal State Code,2023
4,5,Metropolitan Statistical Area (MSA) Code,2023
5,3,County - 2020 Census,2023
6,6,Census Tract - 2020 Census,2023
7,6,2020 Census Tract - Percent Minority,2023
8,6,2020 Census Tract - Median Income,2023
9,6,Local Area Median Income,2023
10,8,Tract Income Ratio,2023
11,6,Area Median Family Income (2023),2023
12,9,Acquisition Unpaid Principal Balance (UPB),2023
13,1,Purpose of Loan,2023
14,1,Type of Seller Institution,2023
15,1,Federal Guarantee,2023
16,1,Lien Status,2023
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2023
18,1,Date of Mortgage Note,2023
19,3,Term of Mortgage at Origination,2023
20,1,Number of Units,2023
21,6,Interest Rate at Origination,2023
22,9,Note Amount,2023
23,9,Property Value,2023
24,3,Prepayment Penalty Term,2023
25,1,Non-fully Amortizing Feature - Balloon,2023
26,1,Non-fully Amortizing Feature - Interest-only,2023
27,1,Non-fully Amortizing Feature - Negative Amortization,2023
28,1,Non-fully Amortizing Feature - Other,2023
29,3,Multifamily Affordable Units - Percent,2023
30,1,Construction Method,2023
31,1,Rural Census Tract,2023
32,1,Lower Mississippi Delta County,2023
33,1,Middle Appalachia County,2023
34,1,Persistent Poverty County,2023
35,1,Area of Concentrated Poverty,2023
36,1,High Opportunity Area,2023
37,1,Colonias Tract,2023
1,1,Enterprise Flag,2024
2,8,Record Number,2024
3,2,US Postal State Code,2024
4,5,Metropolitan Statistical Area (MSA) Code,2024
5,3,County - 2020 Census,2024
6,6,Census Tract - 2020 Census,2024
7,6,2020 Census Tract - Percent Minority,2024
8,6,2020 Census Tract - Median Income,2024
9,6,Local Area Median Income,2024
10,8,Tract Income Ratio,2024
11,6,Area Median Family Income (2024),2024
12,9,Acquisition Unpaid Principal Balance (UPB),2024
13,1,Purpose of Loan,2024
14,1,Type of Seller Institution,2024
15,1,Federal Guarantee,2024
16,1,Lien Status,2024
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2024
18,1,Date of Mortgage Note,2024
19,3,Term of Mortgage at Origination,2024
20,1,Number of Units,2024
