Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is “H”.,hnissuesS_layout.pdf,,,02,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,02,,
6,Eligible Non-Borrowing Spouse Number of Participations,Numeric,5,,,"The number of participations in the pool associated with a
loan that has one or more Eligible Non-Borrowing Spouses.",hnissuesS_layout.pdf,,,02,,
7,Eligible Non-Borrowing Spouse UPB of Participations,Numeric,14,11.2,,The total Unpaid Principal Balance (UPB) of the participations in the pool associated with a loan that has one or more Eligible Non-Borrowing Spouses.,hnissuesS_layout.pdf,,,02,,
8,Eligible Non-Borrowing Spouse UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has one or more Eligible Non-Borrowing Spouses,
expressed as a percentage of the Pool’s UPB. This UPB
percentage is calculated by dividing the total participation
UPB of the given condition (Eligible Non-Borrowing Spouse)
by the Pool’s UPB.",hnissuesS_layout.pdf,,,02,,
9,Remaining Property Charges Set Aside Number of Participations,Numeric,5,,,"The number of participations in the pool associated with a
loan that has a non-zero Remaining Property Charges Set
Aside amount.",hnissuesS_layout.pdf,,,02,,
10,Remaining Property Charges Set Aside UPB of Participations,Numeric,14,11.2,,"Total UPB of the participations in the pool associated with a
loan that has a non-zero Remaining Property Charges Set
Aside amount.",hnissuesS_layout.pdf,,,02,,
11,Remaining Property Charges Set Aside UPB of Participations as % of Pool UPB,Numeric,6,3.2,,"Total UPB of the participations in the pool associated with a
loan that has a non-zero Remaining Property Charges Set
Aside amount, expressed as a percentage of the Pool’s UPB.
This UPB percentage is calculated by dividing the total
participation UPB of the given condition (Remaining Property
Charges Set Aside) by the Pool’s UPB.",hnissuesS_layout.pdf,,,02,,
1,Record Type = 03,Character,2,,,Payment Option Stratification,hnissuesS_layout.pdf,,,03,,
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hnissuesS_layout.pdf,,,03,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,03,,
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is “H”.,hnissuesS_layout.pdf,,,03,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,03,,
6,Payment Option,Numeric,1,,,"The method to receive payment(s) that was selected by the
borrower associated with the HECM loan as of the Pool Issue
Date:
1 = tenure
2 = term
3 = line of credit
4 = modified term
5 = modified tenure
6 = single disbursement lump sum (for fixed rate HECMs with
an FHA case number assigned on or after September 30, 2013)
9 = Not Available",hnissuesS_layout.pdf,,,03,,
7,Number of Participations,Numeric,5,,,"The number of participations in the pool associated with a
loan that has the Payment Option value.",hnissuesS_layout.pdf,,,03,,
8,UPB of Participations,Numeric,14,11.2,,"The total Unpaid Principal Balance (UPB) of the
participations in the pool associated with a loan that has the
Payment Option value.",hnissuesS_layout.pdf,,,03,,
