Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
55,Median LTV (Q2),297,299,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
56,25th Percentile LTV (Q1),300,302,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
57,Minimum LTV (Q0),303,305,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
58,LTV Not Available – Number of loans,306,311,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
59,LTV Not Available – UPB,312,324,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
60,LTV Not Available – % of UPB,325,329,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
61,Purchase Number Of Loans,330,335,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
62,Purchase UPB,336,348,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
63,Purchase % of UPB,349,353,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
64,Refinance Number of Loans,354,359,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
65,Refinance UPB,360,372,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
66,Refinance % of UPB,373,377,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
67,HAMP Modified Number of Loans,378,383,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
68,HAMP Modified UPB,384,396,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
69,HAMP Modified % of Total UPB,397,401,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
70,Non-HAMP Modified Number of Loans,402,407,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
71,Non-HAMP Modified UPB,408,420,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
72,Non-HAMP Modified % of Total UPB,421,425,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
73,Loan Purpose Not Available Number of Loans,426,431,Numeric,6,9(6),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
74,Loan Purpose Not Available UPB,432,444,Numeric,13,9(11)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
75,Loan Purpose Not Available % of UPB,445,449,Numeric,5,9(3)v9(2),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
76,Weighted Average Original CLTV,450,452,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
77,Maximum CLTV (Q4),453,455,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
78,75th Percentile CLTV (Q3),456,458,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
79,Median CLTV (Q2),459,461,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
